statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Maharashtra,Amravati Commr.,2001,23,0,10,41,15,10,43,55,60
Maharashtra,Amravati Rural,2001,42,0,12,31,23,4,99,92,126
Maharashtra,Aurangabad Commr.,2001,14,0,26,108,3,4,33,102,109
Maharashtra,Aurangabad Rural,2001,28,0,13,35,24,6,53,247,172
Maharashtra,Beed,2001,22,0,14,41,38,2,78,177,174
Maharashtra,Bhandara,2001,39,0,12,19,55,5,71,60,90
Maharashtra,Buldhana,2001,22,0,17,46,69,35,118,223,155
Maharashtra,Chandrapur,2001,43,0,21,35,39,2,102,144,180
Maharashtra,Dhule,2001,16,0,20,36,22,6,17,127,189
Maharashtra,Gadchiroli,2001,27,0,3,12,51,0,55,57,49
Maharashtra,Gondia,2001,23,0,18,30,20,4,85,80,94
Maharashtra,Hingoli,2001,20,0,6,20,33,2,44,134,61
Maharashtra,Jalgaon,2001,19,0,41,119,22,5,76,389,259
Maharashtra,Jalna,2001,16,0,13,38,38,5,56,172,109
Maharashtra,Kolhapur,2001,26,0,35,71,20,19,46,80,279
Maharashtra,Latur,2001,7,0,20,45,28,38,50,150,134
Maharashtra,Mumbai,2001,127,0,393,1270,6,18,274,198,709
Maharashtra,Mumbai Rly.,2001,2,0,26,34,0,0,5,0,2
