statename,distname,YEAR,MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER
Uttar Pradesh,Ambedkar Nagar,2001,46,7
Uttar Pradesh,Auraiya,2001,53,11
Uttar Pradesh,Azamgarh,2001,120,21
Uttar Pradesh,Badaun,2001,239,30
Uttar Pradesh,Baghpat,2001,89,6
Uttar Pradesh,Bahraich,2001,43,23
Uttar Pradesh,Ballia,2001,55,13
Uttar Pradesh,Balrampur,2001,26,9
Uttar Pradesh,Banda,2001,75,14
Uttar Pradesh,Barabanki,2001,88,24
Uttar Pradesh,Bareilly,2001,272,28
Uttar Pradesh,Basti,2001,48,13
Uttar Pradesh,Bijnor,2001,124,14
Uttar Pradesh,Bulandshahar,2001,250,16
Uttar Pradesh,Chandoli,2001,35,9
Uttar Pradesh,Chitrakoot Dham,2001,28,5
Uttar Pradesh,Deoria,2001,48,17
Uttar Pradesh,Etah,2001,240,12
Uttar Pradesh,Etawah,2001,82,8
Uttar Pradesh,Faizabad,2001,77,15
Uttar Pradesh,Fatehgarh,2001,120,14
Uttar Pradesh,Fatehpur,2001,132,26
Uttar Pradesh,Firozabad,2001,135,10
Uttar Pradesh,G.R.P.,2001,31,0
Uttar Pradesh,Gautambudh Nagar,2001,92,16
Uttar Pradesh,Ghaziabad,2001,230,18
Uttar Pradesh,Ghazipur,2001,46,24
Uttar Pradesh,Gonda,2001,68,25
Uttar Pradesh,Gorakhpur,2001,96,29
Uttar Pradesh,Hamirpur,2001,66,6
Uttar Pradesh,Hardoi,2001,182,30
Uttar Pradesh,Hathras,2001,86,15
Uttar Pradesh,J.P.Nagar,2001,112,6
Uttar Pradesh,Jalaun,2001,83,4
Uttar Pradesh,Jaunpur,2001,56,29
Uttar Pradesh,Jhansi,2001,76,19
Uttar Pradesh,Kannauj,2001,66,8
Uttar Pradesh,Kanpur Dehat,2001,85,12
Uttar Pradesh,Kanpur Nagar,2001,210,28
Uttar Pradesh,Kaushambi,2001,77,11
Uttar Pradesh,Khiri,2001,172,36
Uttar Pradesh,Kushi Nagar,2001,69,18
Uttar Pradesh,Lalitpur,2001,25,7
Uttar Pradesh,Lucknow,2001,166,28
Uttar Pradesh,Maharajganj,2001,39,11
Uttar Pradesh,Mahoba,2001,56,5
Uttar Pradesh,Mainpuri,2001,136,20
Uttar Pradesh,Mathura,2001,125,9
Uttar Pradesh,Mau,2001,49,9
Uttar Pradesh,Meerut,2001,275,10
Uttar Pradesh,Mirzapur,2001,44,8
Uttar Pradesh,Moradabad,2001,213,18
Uttar Pradesh,Muzaffarnagar,2001,324,12
Uttar Pradesh,Pilibhit,2001,115,12
Uttar Pradesh,Pratapgarh,2001,76,22
Uttar Pradesh,Raibareilly,2001,87,26
Uttar Pradesh,Rampur,2001,89,26
Uttar Pradesh,Saharanpur,2001,101,14
Uttar Pradesh,Sant Kabirnagar,2001,16,4
Uttar Pradesh,Shahjahanpur,2001,196,37
Uttar Pradesh,Shrawasti,2001,35,15
Uttar Pradesh,Sidharthnagar,2001,13,8
Uttar Pradesh,Sitapur,2001,162,56
Uttar Pradesh,Sonbhadra,2001,33,20
Uttar Pradesh,St.Ravidasnagar,2001,21,4
Uttar Pradesh,Sultanpur,2001,103,25
Uttar Pradesh,Unnao,2001,147,15
Uttar Pradesh,Varanasi,2001,78,17
Uttar Pradesh,Total,2001,7601,1186
Uttarakhand,Almora,2001,18,2
Uttarakhand,Bageshwar,2001,10,0
Uttarakhand,Chamoli,2001,13,2
Uttarakhand,Champawat,2001,3,2
Uttarakhand,Dehradun,2001,32,3
Uttarakhand,Haridwar,2001,94,6
Uttarakhand,Nainital,2001,36,5
