statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Orissa,Sambalpur,2001,13,9,50,303,56
Orissa,Sonepur,2001,4,0,6,35,0
Orissa,Srp(Cuttack),2001,5,2,8,287,8
Orissa,Srp(Rourkela),2001,3,2,10,135,3
Orissa,Sundargarh,2001,26,5,38,171,13
Orissa,Total,2001,522,199,958,5622,817
Punjab,Amritsar,2001,34,0,6,141,70
Punjab,Barnala,2001,16,0,0,39,11
Punjab,Batala,2001,6,1,2,26,7
Punjab,Bhatinda,2001,15,2,1,94,26
Punjab,Faridkot,2001,11,3,1,56,15
Punjab,Fatehgarh Sahib,2001,12,0,5,62,15
Punjab,Ferozepur,2001,12,0,5,115,44
Punjab,G.R.P,2001,0,0,3,41,6
Punjab,Gurdaspur,2001,17,1,4,38,6
Punjab,Hoshiarpur,2001,20,7,10,119,30
Punjab,Jagraon,2001,19,1,5,90,22
Punjab,Jalandhar,2001,70,1,6,290,149
Punjab,Kapurthala,2001,17,2,5,64,25
Punjab,Khanna,2001,4,1,6,44,19
Punjab,Ludhiana,2001,88,6,23,624,383
Punjab,Majitha,2001,10,0,1,31,8
Punjab,Mansa,2001,5,1,0,42,17
Punjab,Moga,2001,14,7,6,64,30
Punjab,Muktsar,2001,3,1,1,49,14
Punjab,Nawan Shahr,2001,13,2,5,57,8
Punjab,Patiala,2001,60,2,16,583,177
Punjab,Ropar,2001,24,0,1,129,52
Punjab,Sangrur,2001,28,4,13,157,54
Punjab,Tarn Taran,2001,15,3,6,68,16
Punjab,Total,2001,513,45,131,3023,1204
Rajasthan,Ajmer,2001,133,8,46,748,248
Rajasthan,Alwar,2001,119,1,52,964,295
Rajasthan,Banswara,2001,61,4,23,118,14
Rajasthan,Baran,2001,96,0,32,365,39
Rajasthan,Barmer,2001,21,0,12,185,43
Rajasthan,Bharatpur,2001,126,3,41,808,177
Rajasthan,Bhilwara,2001,223,2,49,787,233
Rajasthan,Bikaner,2001,36,1,4,431,91
Rajasthan,Bundi,2001,120,4,33,391,67
Rajasthan,Chittorgarh,2001,206,5,47,730,132
Rajasthan,Churu,2001,26,0,11,210,24
Rajasthan,Dausa,2001,40,3,14,380,102
Rajasthan,Dholpur,2001,43,2,27,240,22
Rajasthan,Dungarpur,2001,54,0,8,74,28
Rajasthan,G.R.P.,2001,7,0,12,584,17
